1117812040700256257		http://twitter.com/NBC6News/status/1117812040700256257	They're fighting it. #CollegeAdmissionsScandal https://t.co/6yEFVtSBmr	@NBC6News	KTAL NBC 6 News	United States of America	Louisiana	Shreveport	Neutral	Neutral	Twitter						They're fighting it. #CollegeAdmissionsScandal https://t.co/6yEFVtSBmr	Tweet		
1117868738789822464		http://twitter.com/Sunshine4744/status/1117868738789822464	RT @EpochTimes Actress Lori Loughlin has been reluctant to enter a guilty plea in the #CollegeAdmissionsScandal because she's “very concerned” about how it would affect her daughters’ reputations, along with their feelings for their mother. https://t.co/0FV8VCiRa0	@Sunshine4744	Dianna I voted Trump	United States of America	Oregon		Neutral	Neutral	Twitter	F					RT @EpochTimes Actress Lori Loughlin has been reluctant to enter a guilty plea in the #CollegeAdmissionsScandal because she's “very concerned” about how it would affect her daughters’ reputations, along with their feelings for their mother. https://t.co/0FV8VCiRa0	Retweet		
1117817292086181889		http://twitter.com/kirbyfarah/status/1117817292086181889	If anything good has come from the #CollegeAdmissionsScandal it has been new attention to old and systemic problems that continue to thrive in higher ed institutions.	@kirbyfarah	Dr. Kirby Farah	United States of America	California	Los Angeles	Negative	Unclassified	Twitter	F					If anything good has come from the #CollegeAdmissionsScandal it has been new attention to old and systemic problems that continue to thrive in higher ed institutions.	Tweet		
1117916647665176576		http://twitter.com/suexgalloway/status/1117916647665176576	Looks like actress Lori Loughlin and Mossimo Giannulli will soon be fitted for orange jumpsuits. The arrogance is sickening. #CollegeAdmissionsScandal #USC #AuntBecky https://t.co/jJRkVmHk2t	@suexgalloway	Sue X. 🇺🇸🇮🇪🌎🌊				Negative	Disgust	Twitter	F					Looks like actress Lori Loughlin and Mossimo Giannulli will soon be fitted for orange jumpsuits. The arrogance is sickening.   #CollegeAdmissionsScandal #USC #AuntBecky https://t.co/jJRkVmHk2t	Tweet		
1117817056286707712		http://twitter.com/fuzzbox61/status/1117817056286707712	How can you :Lori Loughlin Enter a Not Guilty Plea in College Admissions Case , when evidence is all over the place??? #CollegeAdmissionsScandal #CollegeAdmissionsScam #hollywoodactress https://t.co/k486pqI9vu	@fuzzbox61	⭐️ ⭐️ ⭐️ Sparky ⭐️ ⭐️ ⭐️	United States of America			Neutral	Disgust	Twitter						"How can you :Lori Loughlin Enter a Not Guilty Plea in College Admissions Case , when evidence is all over the place???
#CollegeAdmissionsScandal #CollegeAdmissionsScam #hollywoodactress 

https://t.co/k486pqI9vu"	Tweet		
1117817029422190592		http://twitter.com/neesietweets/status/1117817029422190592	@DailyCaller This had better not finish with another #JussieSmollett ”get out of jail free” #CelebrityPrivilege💥 outcome😠❗️#CollegeAdmissionsScandal #MondayMotivation #MondayMorning #LoriLoughlin 💥💥💥	@neesietweets	Neesie 🇺🇸⭐️⭐️⭐️	United States of America			Neutral	Anger	Twitter						@DailyCaller This had better not finish with another #JussieSmollett  ”get out of jail free” #CelebrityPrivilege💥 outcome😠❗️#CollegeAdmissionsScandal #MondayMotivation #MondayMorning #LoriLoughlin 💥💥💥	Reply		
1117817211031175169		http://twitter.com/kirbyfarah/status/1117817211031175169	This is an old article now, but I'm new to twitter and haven't been able to stop thinking about it. If anything good has come from the #CollegeAdmissionsScandal it has been new attention to old and systemic problems that continue to thrive in higher ed institutions.	@kirbyfarah	Dr. Kirby Farah	United States of America	California	Los Angeles	Negative	Sadness	Twitter	F					This is an old article now, but I'm new to twitter and haven't been able to stop thinking about it. If anything good has come from the #CollegeAdmissionsScandal it has been new attention to old and systemic problems that continue to thrive in higher ed institutions.	Tweet		
1117878807455649793		http://twitter.com/AnnCarolPerry1/status/1117878807455649793	RT @EpochTimes Actress #LoriLoughlin and her fashion designer husband, #MossimoGiannulli, are pleading not guilty to charges they took part in the sweeping #CollegeAdmissionsScandal, according to court documents. https://t.co/lxuITeEvGu	@AnnCarolPerry1	Nationalist Carol  🚂💨🇺🇸 ⭐️⭐️⭐️				Neutral	Neutral	Twitter	F					RT @EpochTimes Actress #LoriLoughlin and her fashion designer husband, #MossimoGiannulli, are pleading not guilty to charges they took part in the sweeping #CollegeAdmissionsScandal, according to court documents. https://t.co/lxuITeEvGu	Retweet		
1117634218455003137		http://twitter.com/MousePound/status/1117634218455003137	Maybe colleges should start accepting students with low SAT and ACT scores because they know they didn’t cheat #CollegeAdmissionsScandal https://t.co/GGermwd23r	@MousePound	Pound Mouse	United States of America			Neutral	Sadness	Twitter						Maybe colleges should start accepting students with low SAT and ACT scores because they know they didn’t cheat #CollegeAdmissionsScandal https://t.co/GGermwd23r	Tweet		
1117703492557332480		http://twitter.com/VHolt9/status/1117703492557332480	RT @TKovachNashvil I kinda like this picture.... 😉 I joined the @usairforce at age 17, in 1975. #CollegeAdmissionsScandal #CollegeCheatingScandal #military #veterans https://t.co/nlCPpOMhEX	@VHolt9	VHolt	United States of America			Neutral	Neutral	Twitter						"RT @TKovachNashvil I kinda like this picture....  😉  I joined the @usairforce at age 17, in 1975.

#CollegeAdmissionsScandal  #CollegeCheatingScandal  #military  #veterans https://t.co/nlCPpOMhEX"	Retweet		
