author,location,lat,lon
@krauspaulusa,"Akron,Ohio,United States of America",41.0802,-81.5219
@ABCLiz,"Sacramento,California,United States of America",38.5667,-121.4683
@kalanichang,"Honolulu,Hawaii,United States of America",21.3294,-157.8460
@Reginald_89,"Houston,Texas,United States of America",29.7868,-95.3905
@RachelCronin,"Cincinnati,Ohio,United States of America",39.1412,-84.5059
@PerryPrycewhoru,"New York,New York,United States of America",40.6943,-73.9249
@HowellAmparoh,"Trenton,New Jersey,United States of America",40.2237,-74.7640
@KristinaBraly,"Houston,Texas,United States of America",29.7868,-95.3905
@saucy3george,"West Palm Beach,Florida,United States of America",26.7467,-80.1314
@JovonnieB,"New York,New York,United States of America",40.6943,-73.9249
@Kwaz128,"New York,New York,United States of America",40.6943,-73.9249
@DevSheth,"Los Angeles,California,United States of America",34.1139,-118.4068
@WillSeattle,"Seattle,Washington,United States of America",47.6211,-122.3244
@kathrinequezada,"Los Angeles,California,United States of America",34.1139,-118.4068
@tom_crain,"Seattle,Washington,United States of America",47.6211,-122.3244
@AmyNapkins,"Los Angeles,California,United States of America",34.1139,-118.4068
@whiteshot,"Greensboro,North Carolina,United States of America",36.0956,-79.8269
@loumail73,"Kansas City,Kansas,United States of America",39.1234,-94.7443
@New_Sassy,"New York,New York,United States of America",40.6943,-73.9249
@Jamierodr14,"Atlanta,Georgia,United States of America",33.7626,-84.4228
@kyleman,"Tulsa,Oklahoma,United States of America",36.1284,-95.9042
@blackcuda1,"Greenville,South Carolina,United States of America",34.8363,-82.3650
@MeetRihannaFl,"Dallas,Texas,United States of America",32.7937,-96.7662
@StayclassySDCC,"San Diego,California,United States of America",32.8312,-117.1226
@natnat1921,"Seattle,Washington,United States of America",47.6211,-122.3244
@SchoolPsychMsB,"Baltimore,Maryland,United States of America",39.3051,-76.6144
@GenuineJeremy,"Minneapolis,Minnesota,United States of America",44.9635,-93.2678
@FluffyDoom,"Philadelphia,Pennsylvania,United States of America",40.0076,-75.1340
@aozzi_c,"Oceanside,California,United States of America",33.2247,-117.3083
@Whitneywri,"Clovis,New Mexico,United States of America",34.4376,-103.1923
@user239956,"Austin,Texas,United States of America",30.3006,-97.7517
@Jimmy_Durrr,"Chicago,Illinois,United States of America",41.8373,-87.6861
@Nibbobbin,"Atlanta,Georgia,United States of America",33.7626,-84.4228
@leftofthejokers,"Irvine,California,United States of America",33.6772,-117.7738
@donnyhighrollah,"Chicago,Illinois,United States of America",41.8373,-87.6861
@titowebjunkie,"New York,New York,United States of America",40.6943,-73.9249
@i_Be_Dan,"Philadelphia,Pennsylvania,United States of America",40.0076,-75.1340
@DreaYellsThings,"Kansas City,Kansas,United States of America",39.1234,-94.7443
@jimerhart,"Kansas City,Kansas,United States of America",39.1234,-94.7443
@Dr_Blaine,"Los Angeles,California,United States of America",34.1139,-118.4068
@xrxnc,"New York,New York,United States of America",40.6943,-73.9249
@jessdeerose,"Dallas,Texas,United States of America",32.7937,-96.7662
@LORIN21,"Chicago,Illinois,United States of America",41.8373,-87.6861
@PlayStation102,"Houston,Texas,United States of America",29.7868,-95.3905
@knxjulie,"Los Angeles,California,United States of America",34.1139,-118.4068
@hectorrr__,"Brownsville,Texas,United States of America",25.9980,-97.4565
@MslillieMaga,"Irvine,California,United States of America",33.6772,-117.7738
@JRayFalvey,"New Haven,Connecticut,United States of America",41.3112,-72.9245
@TrillzVon,"Los Angeles,California,United States of America",34.1139,-118.4068
@KeeangaYamahtta,"Philadelphia,Pennsylvania,United States of America",40.0076,-75.1340
@jxinfante,"Chicago,Illinois,United States of America",41.8373,-87.6861
@rossychild,"Chicago,Illinois,United States of America",41.8373,-87.6861
@GuillermoxF,"Lansing,Michigan,United States of America",42.7142,-84.5600
@RealTT2020,"Denver,Colorado,United States of America",39.7621,-104.8759
@jsrbailey,"Boulder,Colorado,United States of America",40.0249,-105.2523
@mikedays,"Philadelphia,Pennsylvania,United States of America",40.0076,-75.1340
@GeminijlwWilson,"Harrisburg,Pennsylvania,United States of America",40.2752,-76.8843
@rbax7,"Houston,Texas,United States of America",29.7868,-95.3905
@GmanFan45,"Fort Lauderdale,Florida,United States of America",26.1412,-80.1464
@this_college,"Binghamton,New York,United States of America",42.1014,-75.9093
@mtlookoutmike,"Cincinnati,Ohio,United States of America",39.1412,-84.5059
@DirtyBird50,"Los Angeles,California,United States of America",34.1139,-118.4068
@Meginthewild,"Nashville,Tennessee,United States of America",36.1714,-86.7844
@JGFoundSuccess,"Dallas,Texas,United States of America",32.7937,-96.7662
@myvidastyle,"San Francisco,California,United States of America",37.7562,-122.4430
@CoreyJAndrews93,"New York,New York,United States of America",40.6943,-73.9249
@DavidKemp6,"Amarillo,Texas,United States of America",35.1988,-101.8308
@naomielaurent,"New York,New York,United States of America",40.6943,-73.9249
@JakePearse3,"Denver,Colorado,United States of America",39.7621,-104.8759
@lajorkm,"New York,New York,United States of America",40.6943,-73.9249
@ChildOfArt,"New York,New York,United States of America",40.6943,-73.9249
@jimmycentury,"Las Vegas,Nevada,United States of America",36.2291,-115.2607
@JulieSowash,"Columbus,Ohio,United States of America",39.9860,-82.9852
@JohnFrederickF2,"Brownsville,Texas,United States of America",25.9980,-97.4565
@AshleyNews_,"Miami,Florida,United States of America",25.7840,-80.2102
@NFLVikingsgiirl,"Los Angeles,California,United States of America",34.1139,-118.4068
@MixingChris,"Austin,Texas,United States of America",30.3006,-97.7517
@DiorVargas,"New York,New York,United States of America",40.6943,-73.9249
@JordanSallis,"Chicago,Illinois,United States of America",41.8373,-87.6861
@taneem,"Seattle,Washington,United States of America",47.6211,-122.3244
@rmccrory,"Seattle,Washington,United States of America",47.6211,-122.3244
@pcbve,"San Francisco,California,United States of America",37.7562,-122.4430
@ShawnNuzzo,"Los Angeles,California,United States of America",34.1139,-118.4068
@nmoe19401,"Philadelphia,Pennsylvania,United States of America",40.0076,-75.1340
@crystalyttwin,"New York,New York,United States of America",40.6943,-73.9249
@DJ2779,"New York,New York,United States of America",40.6943,-73.9249
@Timbuckland61,"San Diego,California,United States of America",32.8312,-117.1226
@molina_moprobs,"Athens,Georgia,United States of America",33.9508,-83.3689
@GrantCardone,"Miami,Florida,United States of America",25.7840,-80.2102
@Juliacsk,"Los Angeles,California,United States of America",34.1139,-118.4068
@caver_tj,"New York,New York,United States of America",40.6943,-73.9249
@typicaloutlier,"Atlanta,Georgia,United States of America",33.7626,-84.4228
@misscocoamoore,"Chicago,Illinois,United States of America",41.8373,-87.6861
@ilagvt74exiles,"Charlotte,North Carolina,United States of America",35.2079,-80.8303
@RussContreras,"Albuquerque,New Mexico,United States of America",35.1053,-106.6464
@Freq333LA,"Los Angeles,California,United States of America",34.1139,-118.4068
@docholly,"Philadelphia,Pennsylvania,United States of America",40.0076,-75.1340
@FrankieRompon,"San Jose,California,United States of America",37.3018,-121.8485
@A_A_Ron_Rodgers,"Houston,Texas,United States of America",29.7868,-95.3905
@bossfo2007,"San Francisco,California,United States of America",37.7562,-122.4430
@drsuzy,"Los Angeles,California,United States of America",34.1139,-118.4068
@RJaee_Booker,"Chicago,Illinois,United States of America",41.8373,-87.6861
@Sighdell,"Charlottesville,Virginia,United States of America",38.0375,-78.4855
@frenchiextoast,"New York,New York,United States of America",40.6943,-73.9249
@Adrian_Benepe,"New York,New York,United States of America",40.6943,-73.9249
@greatestedson,"Orlando,Florida,United States of America",28.4788,-81.3420
@reubing,"Miami,Florida,United States of America",25.7840,-80.2102
@reagandovel_,"Raleigh,North Carolina,United States of America",35.8323,-78.6439
@ms_issa_bae,"Memphis,Tennessee,United States of America",35.1047,-89.9773
@liquidlaugh,"San Diego,California,United States of America",32.8312,-117.1226
@DanShilitz,"New York,New York,United States of America",40.6943,-73.9249
@leesalove,"Los Angeles,California,United States of America",34.1139,-118.4068
@leemeade77,"Chicago,Illinois,United States of America",41.8373,-87.6861
@SteadyMo,"New York,New York,United States of America",40.6943,-73.9249
@SocialAssurity,"New York,New York,United States of America",40.6943,-73.9249
@PCasanave1,"New York,New York,United States of America",40.6943,-73.9249
@DavidHazlett20,"Chicago,Illinois,United States of America",41.8373,-87.6861
@Venetia_H,"Phoenix,Arizona,United States of America",33.5722,-112.0891
@DoingRight1,"Boston,Massachusetts,United States of America",42.3188,-71.0846
@chadbensonshow,"Phoenix,Arizona,United States of America",33.5722,-112.0891
@Devon_Carrow,"Philadelphia,Pennsylvania,United States of America",40.0076,-75.1340
@RogueRachael,"Seattle,Washington,United States of America",47.6211,-122.3244
@Daffodill56,"Charlotte,North Carolina,United States of America",35.2079,-80.8303
@MizzMochas,"Charlotte,North Carolina,United States of America",35.2079,-80.8303
@GavriellaBen,"Boulder,Colorado,United States of America",40.0249,-105.2523
@DanGraur,"Houston,Texas,United States of America",29.7868,-95.3905
@dontcallherkim,"Atlanta,Georgia,United States of America",33.7626,-84.4228
@LeoViolet3000,"New York,New York,United States of America",40.6943,-73.9249
@elizabethmhyde,"Indianapolis,Indiana,United States of America",39.7771,-86.1458
@daughterof133,"Victorville,California,United States of America",34.5277,-117.3537
@Im_X1,"Milwaukee,Wisconsin,United States of America",43.0640,-87.9669
@thafreshstkd305,"Las Vegas,Nevada,United States of America",36.2291,-115.2607
@MarJesPaul,"Houston,Texas,United States of America",29.7868,-95.3905
@ServiceDogPhD,"Austin,Texas,United States of America",30.3006,-97.7517
@ohpecina78,"Milwaukee,Wisconsin,United States of America",43.0640,-87.9669
@redmeg8,"Ann Arbor,Michigan,United States of America",42.2755,-83.7312
@sherry25793049,"Chicago,Illinois,United States of America",41.8373,-87.6861
@TananariveDue,"Los Angeles,California,United States of America",34.1139,-118.4068
@smschneider7581,"Urbana,Illinois,United States of America",40.1106,-88.1972
@IttsJorgee,"Houston,Texas,United States of America",29.7868,-95.3905
@lisarmundy,"Allentown,Pennsylvania,United States of America",40.5961,-75.4756
@Kiryatraber,"New York,New York,United States of America",40.6943,-73.9249
@sandiepants,"New York,New York,United States of America",40.6943,-73.9249
@caspershouse,"Irvine,California,United States of America",33.6772,-117.7738
@kurtjoseph18,"Chicago,Illinois,United States of America",41.8373,-87.6861
@relientkenny,"Atlanta,Georgia,United States of America",33.7626,-84.4228
@Kiddernoggin,"Kansas City,Kansas,United States of America",39.1234,-94.7443
@ayeegreen,"Sacramento,California,United States of America",38.5667,-121.4683
@dagreatscienski,"Las Vegas,Nevada,United States of America",36.2291,-115.2607
@ArtisticBulldog,"Irvine,California,United States of America",33.6772,-117.7738
@madefrmstars,"New York,New York,United States of America",40.6943,-73.9249
@kscincotta,"Atlanta,Georgia,United States of America",33.7626,-84.4228
@dogladynocats,"Nashville,Tennessee,United States of America",36.1714,-86.7844
@DonShappelle,"Philadelphia,Pennsylvania,United States of America",40.0076,-75.1340
@breylanee,"Houston,Texas,United States of America",29.7868,-95.3905
@markcubsfan,"Dayton,Ohio,United States of America",39.7797,-84.1998
@TheLadyLibraLA,"Los Angeles,California,United States of America",34.1139,-118.4068
@Peter_Haugen,"Boston,Massachusetts,United States of America",42.3188,-71.0846
@abcactionnews,"Tampa,Florida,United States of America",27.9937,-82.4454
@Amiebea,"Minneapolis,Minnesota,United States of America",44.9635,-93.2678
@briandaly473,"New York,New York,United States of America",40.6943,-73.9249
@realsrjoseph,"Sacramento,California,United States of America",38.5667,-121.4683
@thisischacon,"New York,New York,United States of America",40.6943,-73.9249
@shirleyaraiza97,"Portland,Oregon,United States of America",45.5372,-122.6500
@armsivilli,"Chicago,Illinois,United States of America",41.8373,-87.6861
@parkerantoine,"Orlando,Florida,United States of America",28.4788,-81.3420
@chrisostrom,"Kansas City,Kansas,United States of America",39.1234,-94.7443
@ItsMariawith2Rs,"Seattle,Washington,United States of America",47.6211,-122.3244
@BrimanMaxTroy,"San Jose,California,United States of America",37.3018,-121.8485
@pamreeb,"Kalispell,Montana,United States of America",48.2155,-114.3262
@kelseyhardin_,"Columbus,Ohio,United States of America",39.9860,-82.9852
@katherinefonggg,"Los Angeles,California,United States of America",34.1139,-118.4068
@WebGalPat,"Poughkeepsie,New York,United States of America",41.6949,-73.9210
@AnneJp1946,"Las Vegas,Nevada,United States of America",36.2291,-115.2607
@RtisticOne,"Boise,Idaho,United States of America",43.6006,-116.2316
@pr0jectmichael,"San Antonio,Texas,United States of America",29.4722,-98.5247
@Shahrizardd,"New York,New York,United States of America",40.6943,-73.9249
@Redpilldialogue,"Phoenix,Arizona,United States of America",33.5722,-112.0891
@cosmicgrrl1946,"Fayetteville,Arkansas,United States of America",36.0713,-94.1660
@jetblackbook,"Atlanta,Georgia,United States of America",33.7626,-84.4228
@baizarosa,"San Francisco,California,United States of America",37.7562,-122.4430
@takinyera,"Chicago,Illinois,United States of America",41.8373,-87.6861
@in4infor,"Fort Lauderdale,Florida,United States of America",26.1412,-80.1464
@AnthPB,"Boston,Massachusetts,United States of America",42.3188,-71.0846
@ngaytan78,"San Antonio,Texas,United States of America",29.4722,-98.5247
@jncohen,"New York,New York,United States of America",40.6943,-73.9249
@texasjmr1960,"Houston,Texas,United States of America",29.7868,-95.3905
@torsitch,"Denver,Colorado,United States of America",39.7621,-104.8759
@MickowskiBob,"San Francisco,California,United States of America",37.7562,-122.4430
