1101010799080878080	2019-02-28 06:46:44	http://twitter.com/JulesMay4/status/1101010799080878080	RT @uofsandiego A wonderful @uofsandiego Grandparents' Weekend! https://t.co/qWAVPRCLru	@JulesMay4	Jules May				Positive	Joy	Twitter		8	0	4	RT @uofsandiego A wonderful @uofsandiego Grandparents' Weekend! https://t.co/qWAVPRCLru	Retweet		
1101263641637117952	2019-02-28 23:31:27	http://twitter.com/sdschools/status/1101263641637117952	RT @uofsandiego USD NEWS CENTER: @uofsandiego partnership, middle school's student-created Linda Vista banners to be unveiled March 1 https://t.co/6CTLP0cAQQ https://t.co/IfoswSi0SY	@sdschools	San Diego Unified	United States of America	California	San Diego	Neutral	Neutral	Twitter	M	9491	15215	809	RT @uofsandiego USD NEWS CENTER: @uofsandiego partnership, middle school's student-created Linda Vista banners to be unveiled March 1 https://t.co/6CTLP0cAQQ https://t.co/IfoswSi0SY	Retweet		
1101255617497317376	2019-02-28 22:59:34	http://twitter.com/USDwbb/status/1101255617497317376	RT @uofsandiego Come support @USDwbb in their final home games of the season! @uofsandiego @usdtoreros https://t.co/oUAMOyy440 https://t.co/hrUcjFzjgf	@USDwbb	San Diego Women's Basketball	United States of America	California	San Diego	Neutral	Neutral	Twitter	M	4260	2490	1515	RT @uofsandiego Come support @USDwbb in their final home games of the season! @uofsandiego @usdtoreros https://t.co/oUAMOyy440 https://t.co/hrUcjFzjgf	Retweet		
