1096557029643243521	2019-02-15 23:49:03	http://twitter.com/MichaelsRalf/status/1096557029643243521	RT @UCBerkeley At 88, Buxbaum @BerkeleyLaw, is among the oldest professors still teaching at UC Berkeley, a place where turmoil has made some inroads over the years. #BerkeleyStories #FiatLux🌟 https://t.co/PpmeL7aJev	@MichaelsRalf	Ralf Michaels				Neutral	Neutral	Twitter	M	642	236	223	"RT @UCBerkeley At 88, Buxbaum @BerkeleyLaw, is among the oldest professors still teaching at UC Berkeley, a place where turmoil has made some inroads over the years. #BerkeleyStories #FiatLux🌟 
https://t.co/PpmeL7aJev"	Retweet		
1096207443036561409	2019-02-15 00:39:55	http://twitter.com/dianaharvey/status/1096207443036561409	RT @UCBerkeley The @BerkeleyHaas alumni community can now count CA’s first elected female #lieutenantgovernor among its ranks. @EleniForCA said she would fight for accessibility & affordability in public education. #GoBears #Berkeley150 https://t.co/962DwK4KUA	@dianaharvey	diana harvey	United States of America	California	San Francisco	Neutral	Neutral	Twitter	F	1948	481	939	"RT @UCBerkeley The @BerkeleyHaas alumni community can now count CA’s first elected female #lieutenantgovernor among its ranks. @EleniForCA said she would fight for accessibility & affordability in public education. #GoBears #Berkeley150

https://t.co/962DwK4KUA"	Retweet		
1096274707999903744	2019-02-15 05:07:12	http://twitter.com/s_heath22/status/1096274707999903744	RT @UCBerkeley Berkeley’s attention to world-changing environmental research & efforts to #green campus operations have earned it a #GoldAward from the #Sustainability, Tracking, Assessment & Rating System used by 900+ colleges & universities. 🌟🏆 #BerkeleyResearch https://t.co/ofeYz9PdU1	@s_heath22	Samantha Heath	United States of America	California	San Francisco	Positive	Neutral	Twitter	F	72	54	179	RT @UCBerkeley Berkeley’s attention to world-changing environmental research & efforts to #green campus operations have earned it a #GoldAward from the #Sustainability, Tracking, Assessment & Rating System used by 900+ colleges & universities. 🌟🏆 #BerkeleyResearch https://t.co/ofeYz9PdU1	Retweet		
1096271908071505920	2019-02-15 04:56:05	http://twitter.com/alperaltay161/status/1096271908071505920	RT @UCBerkeley Happy #CALentinesDay, Bears! 💙💛 #berkeleypov by @harrisonmaphotography | artwork by @frida.hz https://t.co/P3wl3PEJAd	@alperaltay161	alperaltay				Positive	Joy	Twitter		2020	106	696	"RT @UCBerkeley Happy #CALentinesDay, Bears! 💙💛
#berkeleypov by @harrisonmaphotography | artwork by @frida.hz https://t.co/P3wl3PEJAd"	Retweet		
1096502624843554816	2019-02-15 20:12:52	http://twitter.com/ucbsoj/status/1096502624843554816	RT @UCBerkeley In documenting his family members’ refugee experiences, Wesaam Al-Badry @ucbsoj captured their character & ways of maneuvering through life. 📷 💙 #GoBears #DorotheaLangeWinner @wesaamalbadry https://t.co/QKU1HDlgbC	@ucbsoj	UC Berkeley J-School	United States of America	California	San Francisco	Positive	Joy	Twitter		16362	8797	2271	RT @UCBerkeley In documenting his family members’ refugee experiences, Wesaam Al-Badry @ucbsoj captured their character & ways of maneuvering through life. 📷 💙 #GoBears #DorotheaLangeWinner @wesaamalbadry https://t.co/QKU1HDlgbC	Retweet		
1096444192333619200	2019-02-15 16:20:41	http://twitter.com/BerkeleyLaw/status/1096444192333619200	RT @UCBerkeley At 88, Buxbaum @BerkeleyLaw, is among the oldest professors still teaching at UC Berkeley, a place where turmoil has made some inroads over the years. #BerkeleyStories #FiatLux🌟 https://t.co/PpmeL7aJev	@BerkeleyLaw	UC Berkeley Law	United States of America	California	San Francisco	Neutral	Neutral	Twitter		12361	11852	1357	"RT @UCBerkeley At 88, Buxbaum @BerkeleyLaw, is among the oldest professors still teaching at UC Berkeley, a place where turmoil has made some inroads over the years. #BerkeleyStories #FiatLux🌟 
https://t.co/PpmeL7aJev"	Retweet		
1096295678534332418	2019-02-15 06:30:32	http://twitter.com/ksimerly/status/1096295678534332418	RT @UCBerkeley Happy #CALentinesDay, Bears! 💙💛 #berkeleypov by @harrisonmaphotography | artwork by @frida.hz https://t.co/P3wl3PEJAd	@ksimerly	Kyle Simerly	United States of America	California	San Francisco	Positive	Joy	Twitter	M	22652	347	384	"RT @UCBerkeley Happy #CALentinesDay, Bears! 💙💛
#berkeleypov by @harrisonmaphotography | artwork by @frida.hz https://t.co/P3wl3PEJAd"	Retweet		
1096398251157270528	2019-02-15 13:18:07	http://twitter.com/Martinacuna1965/status/1096398251157270528	RT @UCBerkeley Happy #CALentinesDay, Bears! 💙💛 #berkeleypov by @harrisonmaphotography | artwork by @frida.hz https://t.co/P3wl3PEJAd	@Martinacuna1965	Martín Acuña				Positive	Joy	Twitter	M	69719	624	428	"RT @UCBerkeley Happy #CALentinesDay, Bears! 💙💛
#berkeleypov by @harrisonmaphotography | artwork by @frida.hz https://t.co/P3wl3PEJAd"	Retweet		
1096393038417543168	2019-02-15 12:57:25	http://twitter.com/BeyourselfApp/status/1096393038417543168	RT @UCBerkeley Happy #CALentinesDay, Bears! 💙💛 #berkeleypov by @harrisonmaphotography | artwork by @frida.hz https://t.co/P3wl3PEJAd	@BeyourselfApp	Beyourself				Positive	Joy	Twitter		11404	588	418	"RT @UCBerkeley Happy #CALentinesDay, Bears! 💙💛
#berkeleypov by @harrisonmaphotography | artwork by @frida.hz https://t.co/P3wl3PEJAd"	Retweet		
1096276049363578880	2019-02-15 05:12:32	http://twitter.com/prabhakar_2019/status/1096276049363578880	RT @UCBerkeley Happy #CALentinesDay, Bears! 💙💛 #berkeleypov by @harrisonmaphotography | artwork by @frida.hz https://t.co/P3wl3PEJAd	@prabhakar_2019	Prabhakar Singh	India			Positive	Joy	Twitter		98	4	33	"RT @UCBerkeley Happy #CALentinesDay, Bears! 💙💛
#berkeleypov by @harrisonmaphotography | artwork by @frida.hz https://t.co/P3wl3PEJAd"	Retweet		
1096497921707585536	2019-02-15 19:54:11	http://twitter.com/SanFranciscoBA/status/1096497921707585536	RT @UCBerkeley In documenting his family members’ refugee experiences, Wesaam Al-Badry @ucbsoj captured their character & ways of maneuvering through life. 📷 💙 #GoBears #DorotheaLangeWinner @wesaamalbadry https://t.co/QKU1HDlgbC	@SanFranciscoBA	Brent Andrew	United States of America			Positive	Joy	Twitter	M	50645	2213	2813	RT @UCBerkeley In documenting his family members’ refugee experiences, Wesaam Al-Badry @ucbsoj captured their character & ways of maneuvering through life. 📷 💙 #GoBears #DorotheaLangeWinner @wesaamalbadry https://t.co/QKU1HDlgbC	Retweet		
1096459359402352640	2019-02-15 17:20:57	http://twitter.com/OTS_CA/status/1096459359402352640	RT @UCBerkeley New interactive website puts street safety data at your fingertips 🚲 🚘 🚸 #StreetStory @UCBSafeTREC gives CA residents an easy way to report collisions & near-misses btw/cars, bicyclists or pedestrians. #BerkeleyResearch #StaySafe https://t.co/NaRp1EV5SJ	@OTS_CA	CA Traffic Safety	United States of America	California		Neutral	Neutral	Twitter		280	199	1006	"RT @UCBerkeley New interactive website puts street safety data at your fingertips 🚲 🚘 🚸 
 
#StreetStory @UCBSafeTREC gives CA residents an easy way to report collisions & near-misses btw/cars, bicyclists or pedestrians. #BerkeleyResearch #StaySafe https://t.co/NaRp1EV5SJ"	Retweet		
1096442690231623682	2019-02-15 16:14:42	http://twitter.com/klasy/status/1096442690231623682	RT @UCBerkeley At 88, Buxbaum @BerkeleyLaw, is among the oldest professors still teaching at UC Berkeley, a place where turmoil has made some inroads over the years. #BerkeleyStories #FiatLux🌟 https://t.co/PpmeL7aJev	@klasy	jo				Neutral	Neutral	Twitter	F	59097	305	1797	"RT @UCBerkeley At 88, Buxbaum @BerkeleyLaw, is among the oldest professors still teaching at UC Berkeley, a place where turmoil has made some inroads over the years. #BerkeleyStories #FiatLux🌟 
https://t.co/PpmeL7aJev"	Retweet		
1096445066120450050	2019-02-15 16:24:09	http://twitter.com/SaraGomezAranci/status/1096445066120450050	RT @UCBerkeley At 88, Buxbaum @BerkeleyLaw, is among the oldest professors still teaching at UC Berkeley, a place where turmoil has made some inroads over the years. #BerkeleyStories #FiatLux🌟 https://t.co/PpmeL7aJev	@SaraGomezAranci	Sara Gomez Arancibia				Neutral	Neutral	Twitter	F	677037	1964	460	"RT @UCBerkeley At 88, Buxbaum @BerkeleyLaw, is among the oldest professors still teaching at UC Berkeley, a place where turmoil has made some inroads over the years. #BerkeleyStories #FiatLux🌟 
https://t.co/PpmeL7aJev"	Retweet		
